,Defunciones
5292,-0.2987482084835436
2552,-0.3043575154494825
4127,-0.3043575154494825
4082,-0.3043575154494825
5055,-0.0968131577097448
421,-0.3043575154494825
4769,-0.0351107810844174
4814,0.4809454597819574
2690,-0.3043575154494825
5198,-0.3043575154494825
4977,-0.2931389015176048
3350,-0.3043575154494825
2940,-0.3043575154494825
4933,-0.2763109806197882
2182,-0.2987482084835436
5296,-0.2931389015176048
1404,1.086750612103354
3837,-0.3043575154494825
4800,-0.2538737527560328
1496,-0.2875295945516659
857,0.6828805105557563
2971,-0.3043575154494825
925,-0.3043575154494825
1150,-0.3043575154494825
5481,-0.3043575154494825
5077,-0.0407200880503562
2368,1.967411805755754
4898,0.0939032791321762
2460,2.5507797302133954
4024,-0.3043575154494825
1073,0.0490288234046654
4879,-0.0912038507438059
4351,-0.3043575154494825
3773,-0.3043575154494825
3723,-0.3043575154494825
3892,-0.3043575154494825
1522,-0.3043575154494825
687,-0.3043575154494825
3260,-0.3043575154494825
3967,-0.3043575154494825
5370,-0.3043575154494825
5079,0.2734011020422197
3162,-0.2875295945516659
1230,0.6267874408963677
3420,-0.3043575154494825
3230,-0.0070642462547231
2975,-0.3043575154494825
2729,-0.3043575154494825
4837,0.3351034786675471
5494,-0.3043575154494825
1530,-0.1360783064713168
1793,-0.3043575154494825
853,0.0826846652002985
5513,-0.3043575154494825
3201,-0.3043575154494825
1280,-0.3043575154494825
1992,-0.3043575154494825
2849,-0.2594830597219716
1324,-0.2875295945516659
4273,-0.3043575154494825
3335,-0.3043575154494825
615,-0.1192503855735002
369,3.223896566126058
4631,-0.3043575154494825
4758,-0.0687666228800505
1441,-0.2707016736538494
3620,-0.2594830597219716
3055,-0.1865620691647665
4926,0.0041543676771545
1046,-0.1472969204031945
5022,-0.3043575154494825
4030,-0.2987482084835436
3474,0.2116987254168922
2399,-0.3043575154494825
4559,-0.3043575154494825
4579,-0.2987482084835436
1359,0.4641175388841408
2842,-0.3043575154494825
5114,-0.3043575154494825
2223,-0.2987482084835436
5392,-0.3043575154494825
149,-0.1921713761307054
4812,0.144387041825626
4173,-0.3043575154494825
5094,-0.2202179109603996
4796,-0.2987482084835436
5164,-0.1192503855735002
2332,-0.2931389015176048
3515,-0.1248596925394391
2902,0.2285266463147088
4575,1.2213739792858864
5431,-0.3043575154494825
516,0.2060894184509534
3650,0.1387777348596871
2929,-0.3043575154494825
5497,-0.2987482084835436
4482,-0.2763109806197882
5332,-0.3043575154494825
4548,-0.1641248413010111
946,-0.3043575154494825
4858,0.3743686274291191
1652,-0.3043575154494825
2873,-0.1753434552328888
692,-0.3043575154494825
3154,-0.3043575154494825
289,-0.2875295945516659
2651,-0.2650923666879105
3713,-0.3043575154494825
4288,-0.2987482084835436
4389,-0.2987482084835436
2311,-0.2931389015176048
61,-0.1416876134372557
3736,-0.3043575154494825
3040,-0.3043575154494825
832,0.5426478364072849
2942,-0.2987482084835436
1907,-0.3043575154494825
934,-0.2594830597219716
