,grandes grupos CIE-10,mes,tramo edad cumplida,sexo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,rango1,rango2,rango3,Defunciones
138,1,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2726579853007841,-0.293787579707229,-0.32259030829271296,-0.29874820848354366
139,1,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
140,1,7,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.24041877718545385,-0.293787579707229,-0.32259030829271296,-0.28752959455166593
141,1,7,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.2726579853007841,-0.293787579707229,-0.32259030829271296,-0.29874820848354366
142,1,7,6,0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,-0.17594036095479335,-0.293787579707229,-0.3035288569825632,-0.25948305972197167
143,1,7,6,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,-0.22429917312778871,-0.2786602615880048,-0.3035288569825632,-0.2707016736538494
144,1,7,7,0,4,1,2,0,4,0,1,0,0,0,0,1,1,0,-0.11146194472413286,-0.2786602615880048,-0.28446740567241346,-0.22582721792633853
145,1,7,7,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,-0.2887775893584492,-0.2484056253495562,-0.28446740567241346,-0.27631098061978826
146,1,7,8,0,1,0,0,3,1,1,1,3,1,1,1,1,2,0,-0.2081795690701236,-0.1878963528726591,-0.24634450305211394,-0.21460860399446083
147,1,7,8,1,0,0,0,0,1,0,3,0,1,2,1,0,1,0,-0.2726579853007841,-0.20302367099188337,-0.28446740567241346,-0.2538737527560328
148,1,7,9,0,3,2,1,1,2,3,2,3,4,2,3,4,3,2,-0.1437011528394631,-0.08200512603808915,-0.09385289257091592,-0.10803177164162255
149,1,7,9,1,1,3,1,2,0,2,1,0,2,0,1,3,3,1,-0.17594036095479335,-0.21815098911110764,-0.17009869781151493,-0.1921713761307054
150,1,7,10,0,2,5,3,4,7,10,9,0,4,6,7,6,3,6,0.049734095852518354,0.144904645750275,0.0967616205305816,0.09951258609811514
151,1,7,10,1,6,8,5,6,6,8,9,8,6,4,6,4,3,5,0.21093013642916958,0.23566855446562066,0.02051581528998259,0.16682426968938144
152,1,7,11,0,0,1,1,0,2,2,0,1,2,4,3,1,2,1,-0.22429917312778871,-0.15764171663421053,-0.18916014912166468,-0.1921713761307054
153,1,7,11,1,3,4,4,4,4,6,2,7,4,5,5,6,10,3,0.017494887737188113,0.06926805515415362,0.1348845231508811,0.07146605126842086
154,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2726579853007841,-0.293787579707229,-0.32259030829271296,-0.29874820848354366
155,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
156,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
157,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
158,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
159,1,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
160,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
161,1,8,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
162,1,8,5,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,-0.24041877718545385,-0.293787579707229,-0.26540595436226366,-0.2707016736538494
163,1,8,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2887775893584492,-0.2786602615880048,-0.32259030829271296,-0.29874820848354366
164,1,8,6,0,2,0,2,3,0,2,0,0,0,0,1,0,0,0,-0.17594036095479335,-0.2635329434687805,-0.3035288569825632,-0.24826444579009396
165,1,8,6,1,0,0,2,1,1,0,0,0,0,1,0,1,1,0,-0.22429917312778871,-0.2786602615880048,-0.28446740567241346,-0.26509236668791053
166,1,8,7,0,1,2,1,3,3,2,3,4,0,2,0,1,0,1,-0.12758154878179798,-0.127387080395762,-0.28446740567241346,-0.17534345523288883
167,1,8,7,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,-0.24041877718545385,-0.2786602615880048,-0.32259030829271296,-0.28192028758572707
168,1,8,8,0,1,1,0,1,2,2,1,4,1,4,0,4,3,2,-0.2081795690701236,-0.11225976227653771,-0.15103724650136519,-0.15851553433507226
169,1,8,8,1,0,0,0,1,0,1,2,1,2,2,0,0,1,1,-0.2726579853007841,-0.17276903475343483,-0.28446740567241346,-0.2426551388241551
170,1,8,9,0,3,2,2,2,4,3,5,0,1,1,3,4,1,1,-0.07922273660880262,-0.14251439851498626,-0.15103724650136519,-0.12485969253943911
171,1,8,9,1,1,1,1,2,3,2,2,6,0,4,1,2,3,2,-0.15982075689712824,-0.08200512603808915,-0.17009869781151493,-0.13607830647131683
172,1,8,10,0,5,2,8,6,2,10,2,4,2,4,4,3,5,7,0.0819733039678486,0.03901341891570506,0.03957726660013234,0.0546381303706043
173,1,8,10,1,6,8,3,3,7,7,6,2,4,5,6,9,6,11,0.14645172019850908,0.06926805515415362,0.2873761336320791,0.16121496272344257
174,1,8,11,0,3,0,1,1,1,1,3,1,2,2,1,2,3,3,-0.19205996501245848,-0.15764171663421053,-0.15103724650136519,-0.16973414826694996
